placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,128,126,16,combined_attention_effect,-0.004405693252188567,-0.0032894736842105556,0.00910030680667683,-0.010019540923253347,0.0006267494219301346,16,8,20260716,2000
gap,cards,128,126,17,combined_attention_effect,-0.0018135210214828912,0.0,0.008593665206119297,-0.006519980747494423,0.0019978697479428958,16,8,20260716,2000
gap,cards,128,126,18,combined_attention_effect,-0.0012332871026404868,-1.734723475976807e-17,0.009515287275025581,-0.007118539351269206,0.004291045843647403,16,8,20260716,2000
gap,cards,128,126,19,combined_attention_effect,-0.0022448288804361185,0.0,0.007311947904137741,-0.005239252894877171,0.0009216120969079114,16,8,20260716,2000
gap,cards,128,126,20,combined_attention_effect,-0.00322419490914426,0.0,0.008649002146136441,-0.005821080926129587,-0.0002674595367636725,16,8,20260716,2000
gap,cards,128,126,21,combined_attention_effect,-0.0036149262076372044,-5.984795992119984e-17,0.010388738184320966,-0.007258210991906645,0.0003230837789661451,16,8,20260716,2000
gap,cards,128,126,22,combined_attention_effect,0.0036630025994371885,0.0030120481927710663,0.007949655349687676,-0.0008633870214752614,0.008482463071194346,16,8,20260716,2000
gap,cards,128,126,23,combined_attention_effect,0.02912038104717659,0.02654094639427271,0.013955564861006409,0.020610819778663917,0.03811750446791648,16,8,20260716,2000
gap,cards,128,126,24,combined_attention_effect,0.08781267320033147,0.09403594771241826,0.035917376857991845,0.06492026241987578,0.11126381953251598,16,8,20260716,2000
gap,cards,128,126,25,combined_attention_effect,-0.010895395510755775,-0.0069659442724458,0.011378012680665767,-0.018188171141722494,-0.004146499398020931,16,8,20260716,2000
gap,cards,128,126,26,combined_attention_effect,0.021862636580899687,0.021980676328502403,0.010019525846082003,0.016843578519078445,0.027447287124923992,16,8,20260716,2000
gap,cards,128,126,27,combined_attention_effect,0.02951660732715309,0.03164160401002509,0.015975519193213685,0.019904992777526727,0.03927951327393893,16,8,20260716,2000
gap,cards,128,126,28,combined_attention_effect,-0.007863055677697937,-0.008787878787878775,0.009493337879356663,-0.01290502107634095,-0.0025398843574650047,16,8,20260716,2000
gap,cards,128,126,29,combined_attention_effect,0.03919069763491634,0.03838383838383841,0.011206767351053998,0.03322101128629277,0.04639443253594164,16,8,20260716,2000
