placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
gap,meadow,128,125,strongest_attention_transfer_effect,0.33321041901567483,0.3412325456498389,0.07438111427088226,0.284897131357585,0.3841251670073257,16,8,20260716,2000,strongest_attention_transfer_effect
gap,room,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
gap,room,8,8,strongest_attention_transfer_effect,0.20252686028140968,0.20072912063632348,0.029457272783595407,0.183548619184964,0.2206975286348615,16,8,20260716,2000,strongest_attention_transfer_effect
gap,room,32,28,strongest_attention_transfer_effect,0.30082436240397625,0.2997233930453108,0.06362989269544085,0.26027499596546544,0.3449875802486366,16,8,20260716,2000,strongest_attention_transfer_effect
gap,room,64,66,strongest_attention_transfer_effect,0.33884504141179095,0.3291826309067688,0.0790337612917759,0.28823393252229335,0.39265185436219213,16,8,20260716,2000,strongest_attention_transfer_effect
gap,room,128,127,strongest_attention_transfer_effect,0.4058189295284883,0.4127865961199294,0.08885887206106156,0.3488350508922754,0.4650996083828662,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,cards,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,cards,8,10,strongest_attention_transfer_effect,0.20755958983405856,0.1969987228607918,0.0618975479377702,0.16902380233285463,0.24905780001568148,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,cards,32,29,strongest_attention_transfer_effect,0.19915884077020735,0.17294880785413747,0.05851892075365919,0.16205506249261997,0.24014752808718817,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,cards,64,68,strongest_attention_transfer_effect,0.21130825984956297,0.2047872340425532,0.05347210943517255,0.1807518511520864,0.2514096477606218,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,cards,128,126,strongest_attention_transfer_effect,0.21979535146892143,0.20160730804810362,0.054549557761400067,0.18990733358258038,0.26113538113393886,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,meadow,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,meadow,8,8,strongest_attention_transfer_effect,0.2632326603081985,0.2603228228228228,0.07105487210333032,0.21955255895871,0.3071232717813591,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,meadow,32,35,strongest_attention_transfer_effect,0.22931838782634695,0.21854838709677415,0.04929542354814433,0.2030821559992427,0.26584927873141245,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,meadow,64,69,strongest_attention_transfer_effect,0.22334269768383336,0.2078172079009039,0.04724424125435971,0.19867188938827235,0.25842888929240404,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,meadow,128,125,strongest_attention_transfer_effect,0.21642880904077472,0.20544714396484878,0.04360201016888388,0.19242604742798372,0.2500717460401182,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,room,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,room,8,8,strongest_attention_transfer_effect,0.2181804700256945,0.23267862666254252,0.058348953818067574,0.18079127224158392,0.2580946520911501,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,room,32,28,strongest_attention_transfer_effect,0.1801719856761827,0.17789775833788957,0.04185235906792815,0.15346717624718598,0.20698920373336893,16,8,20260716,2000,strongest_attention_transfer_effect
